0, 8372.868164, 1741039510.4377575, 23:05:10.437763
1, 8366.662109, 1741039521.8395536, 23:05:21.839558
2, 8372.868164, 1741039533.2067926, 23:05:33.206798
3, 8377.833008, 1741039544.672045, 23:05:44.672050
4, 8372.247070, 1741039556.1430824, 23:05:56.143085
5, 8366.040039, 1741039567.615587, 23:06:07.615591
6, 8363.558594, 1741039579.0802565, 23:06:19.080261
7, 8369.143555, 1741039590.5505805, 23:06:30.550585
8, 8370.385742, 1741039602.0189059, 23:06:42.018910
9, 8369.143555, 1741039613.4857147, 23:06:53.485719
10, 8374.109375, 1741039624.9547634, 23:07:04.954768
11, 8361.075195, 1741039636.4239564, 23:07:16.423961
12, 8377.212891, 1741039647.89231, 23:07:27.892315
13, 8347.420898, 1741039659.3638, 23:07:39.363804
14, 8350.524414, 1741039670.8303628, 23:07:50.830367
15, 8367.282227, 1741039682.2995822, 23:08:02.299584
16, 8360.455078, 1741039693.735794, 23:08:13.735798
17, 8347.420898, 1741039705.2367816, 23:08:25.236785
18, 8336.870117, 1741039716.7054863, 23:08:36.705491
19, 8327.559570, 1741039728.1744506, 23:08:48.174455
20, 8348.041992, 1741039739.6485772, 23:08:59.648582
21, 8339.352539, 1741039751.1121745, 23:09:11.112179
22, 8338.732422, 1741039762.5808504, 23:09:22.580855
23, 8341.213867, 1741039774.0497203, 23:09:34.049725
24, 8341.834961, 1741039785.5181656, 23:09:45.518170
25, 8336.870117, 1741039796.9891582, 23:09:56.989160
26, 8313.905273, 1741039808.4582117, 23:10:08.458215
27, 8344.317383, 1741039819.9268181, 23:10:19.926822
28, 8325.077148, 1741039831.394271, 23:10:31.394275
29, 8339.972656, 1741039842.8744166, 23:10:42.874421
30, 8342.456055, 1741039854.333867, 23:10:54.333871
31, 8315.766602, 1741039865.7364523, 23:11:05.736457
32, 8344.938477, 1741039877.269105, 23:11:17.269109
33, 8337.490234, 1741039888.7385693, 23:11:28.738574
34, 8326.939453, 1741039900.207316, 23:11:40.207320
35, 8341.213867, 1741039911.6763468, 23:11:51.676351
36, 8321.353516, 1741039923.144642, 23:12:03.144646
37, 8321.353516, 1741039934.6193943, 23:12:14.619398
38, 8301.492188, 1741039946.0828006, 23:12:26.082805
39, 8321.973633, 1741039957.553951, 23:12:37.553955
40, 8326.939453, 1741039969.2253532, 23:12:49.225355
41, 8325.697266, 1741039980.6960819, 23:13:00.696085
42, 8288.458008, 1741039992.1623375, 23:13:12.162342
43, 8331.283203, 1741040003.492439, 23:13:23.492443
44, 8327.559570, 1741040014.8966985, 23:13:34.896703
45, 8331.283203, 1741040026.3670175, 23:13:46.367021
46, 8326.939453, 1741040037.7354882, 23:13:57.735493
47, 8300.250000, 1741040049.098146, 23:14:09.098150
48, 8335.628906, 1741040060.5710373, 23:14:20.571041
49, 8325.077148, 1741040072.03609, 23:14:32.036093
50, 8321.353516, 1741040083.5042565, 23:14:43.504261
51, 8324.456055, 1741040094.9755797, 23:14:54.975583
52, 8321.973633, 1741040106.443982, 23:15:06.443986
53, 8302.112305, 1741040117.910703, 23:15:17.910707
54, 8323.215820, 1741040129.3817127, 23:15:29.381717
55, 8321.353516, 1741040140.8525045, 23:15:40.852509
56, 8318.870117, 1741040152.3175466, 23:15:52.317550
57, 8297.147461, 1741040163.7496252, 23:16:03.749629
58, 8325.077148, 1741040175.2556577, 23:16:15.255662
59, 8312.042969, 1741040186.7237935, 23:16:26.723797
60, 8299.009766, 1741040198.1935444, 23:16:38.193548
61, 8320.732422, 1741040209.6660318, 23:16:49.666036
62, 8307.699219, 1741040221.1331382, 23:17:01.133142
63, 8320.732422, 1741040232.6013968, 23:17:12.601401
64, 8303.353516, 1741040243.9665828, 23:17:23.966587
65, 8299.629883, 1741040255.335053, 23:17:35.335057
66, 8290.320312, 1741040266.8038955, 23:17:46.803901
67, 8297.767578, 1741040278.2722313, 23:17:58.272235
68, 8304.595703, 1741040289.7333975, 23:18:09.733402
69, 8307.699219, 1741040301.4150138, 23:18:21.415018
70, 8299.629883, 1741040312.8843768, 23:18:32.884381
71, 8299.629883, 1741040324.3501093, 23:18:44.350114
72, 8300.871094, 1741040335.7174613, 23:18:55.717466
73, 8306.457031, 1741040347.0880423, 23:19:07.088044
74, 8296.526367, 1741040358.554262, 23:19:18.554266
75, 8298.388672, 1741040370.0207438, 23:19:30.020749
76, 8268.596680, 1741040381.4921136, 23:19:41.492118
77, 8271.700195, 1741040393.1631663, 23:19:53.163170
78, 8271.700195, 1741040404.6354892, 23:20:04.635493
79, 8284.113281, 1741040416.1031477, 23:20:16.103152
80, 8262.390625, 1741040427.57058, 23:20:27.570583
81, 8271.700195, 1741040439.0386412, 23:20:39.038645
82, 8297.147461, 1741040450.5145066, 23:20:50.514510
83, 8237.563477, 1741040461.9765337, 23:21:01.976535
84, 8302.733398, 1741040473.4458113, 23:21:13.445815
85, 8268.596680, 1741040484.9143634, 23:21:24.914367
86, 8265.493164, 1741040496.3838854, 23:21:36.383889
87, 8274.803711, 1741040507.7218497, 23:21:47.721854
88, 8265.493164, 1741040519.1180644, 23:21:59.118066
89, 8234.459961, 1741040530.587281, 23:22:10.587284
90, 8262.390625, 1741040542.0558507, 23:22:22.055854
91, 8237.563477, 1741040553.5252602, 23:22:33.525265
92, 8296.526367, 1741040564.9951072, 23:22:44.995111
93, 8234.459961, 1741040576.460176, 23:22:56.460180
94, 8274.803711, 1741040587.9296923, 23:23:07.929697
95, 8234.459961, 1741040599.3986294, 23:23:19.398631
96, 8234.459961, 1741040610.8673632, 23:23:30.867368
